time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
1001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1007	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1008	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1009	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1011	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1012	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1013	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1016	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1017	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1018	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1019	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1022	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1023	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1024	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1025	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1026	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1027	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1028	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1029	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1031	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1033	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1034	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1035	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1036	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1037	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1038	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1039	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1040	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1041	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1043	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1044	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1045	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1046	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1047	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1048	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1049	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1052	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1054	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1055	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1056	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1057	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1058	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1059	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1061	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1062	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1063	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1064	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1065	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1066	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1067	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1068	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1069	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1070	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1071	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1072	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1073	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1074	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1075	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1077	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1078	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
1079	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.401040	-0.453291	1.986268
